Nom.officiel.du.satellite;Organisation.de.pays.du.registre.de.l'ONU;Opérateur.propriétaire;Pays.de.l'opérateur.propriétaire;Utilisateurs;Objectif;Date.de.lancement;fournisseur;Pays.du.fournisseur;Site.de.lancement;Véhicule.de.lancement
GOMX-3;NR;GomSpace ApS;Denmark;Commercial;Technology Development;10/5/2015;GomSpace/ESA;Denmark;International Space Station;Nanorack Deployer
Gonets D1-14;Russia;Gonets Satcom;Russia;Commercial/Government;Communications;2/19/1996;NPO PM;Russia;Plesetsk Cosmodrome;Tsyklon 3
Gonets M-03;Russia;Gonets Satcom;Russia;Commercial/Government;Communications;7/28/2012;M.F.Â Reshetnev Information Satellite Systems;Russia;Plesetsk Cosmodrome;Rokot
Gonets M-04;Russia;Gonets Satcom;Russia;Commercial/Government;Communications;7/28/2012;M.F.Â Reshetnev Information Satellite Systems;Russia;Plesetsk Cosmodrome;Rokot
Gonets M-05;Russia;Gonets Satcom;Russia;Commercial/Government;Communications;9/8/2010;M.F.Â Reshetnev Information Satellite Systems;Russia;Plesetsk Cosmodrome;Rokot
Gonets M-11;Russia;Gonets Satcom;Russia;Commercial/Government;Communications;3/31/2015;M.F.Â Reshetnev Information Satellite Systems;Russia;Plesetsk Cosmodrome;Rokot
Gonets M-12;Russia;Gonets Satcom;Russia;Commercial/Government;Communications;3/31/2015;M.F.Â Reshetnev Information Satellite Systems;Russia;Plesetsk Cosmodrome;Rokot
Gonets M-13;Russia;Gonets Satcom;Russia;Commercial/Government;Communications;3/31/2015;M.F.Â Reshetnev Information Satellite Systems;Russia;Plesetsk Cosmodrome;Rokot
Gonets M-14;Russia;Gonets Satcom;Russia;Commercial/Government;Communications;9/11/2013;M.F.Â Reshetnev Information Satellite Systems;Russia;Plesetsk Cosmodrome;Rokot
Gonets M-16;Russia;Gonets Satcom;Russia;Commercial/Government;Communications;9/11/2013;M.F.Â Reshetnev Information Satellite Systems;Russia;Plesetsk Cosmodrome;Rokot
Gonets M-17;Russia;Gonets Satcom;Russia;Commercial/Government;Communications;9/11/2013;M.F.Â Reshetnev Information Satellite Systems;Russia;Plesetsk Cosmodrome;Rokot
Gonets M-18;Russia;Gonets Satcom;Russia;Commercial/Government;Communications;7/3/2014;M.F.Â Reshetnev Information Satellite Systems;Russia;Plesetsk Cosmodrome;Rokot
