Nom.officiel.du.satellite;Organisation.de.pays.du.registre.de.l'ONU;Opérateur.propriétaire;Pays.de.l'opérateur.propriétaire;Utilisateurs;Objectif;Date.de.lancement;fournisseur;Pays.du.fournisseur;Site.de.lancement;Véhicule.de.lancement
Brazilsat B-4;Brazil;Star One (SES [SociÃ©tÃ© EuropÃ©enne des Satellites (SES)]);Brazil;Commercial;Communications;8/17/2000;Boeing Satellite Systems;USA;Guiana Space Center;Ariane 44LP
BRISat;NR;Bank Rakyat Indonesia (BRI);Indonesia;Commercial;Communications;6/19/2016;Space Systems/Loral;USA;Guiana Space Center;Ariane 5 ECA
BRITE-CA-1;NR;University of Toronto, Institute for Aerospace Studies;Canada;Civil;Space Science;6/19/2014;University of Toronto, Institute for Aerospace Studies;Canada;Dombarovsky Air Base;Dnepr
BRITE-PL-1;Poland;BRITE Consortium;Multinational;Government;Space Science;11/21/2013;Space Research Center, Polish Academy of Sciences;Poland;Dombarovsky Air Base;Dnepr
BRITE-PL-2;NR;BRITE Consortium;Multinational;Government;Space Science;8/19/2014;Space Research Center, Polish Academy of Sciences;Poland;Taiyuan Launch Center;CZ-4B
BSAT-3A;Japan;Broadcasting Satellite System Corp.;Japan;Commercial;Communications;8/14/2007;Lockheed Martin Commercial Space Systems;USA;Guiana Space Center;Ariane 5 ECA
BSAT-3B;Japan;Broadcasting Satellite System Corp.;Japan;Commercial;Communications;10/28/2010;Lockheed Martin Commercial Space Systems;USA;Guiana Space Center;Ariane 5 ECA
BSAT-3C/JCSat 110-R;Japan;Broadcasting Satellite System Corp./Sky Perfect JSAT Corporation;Japan;Commercial;Communications;8/6/2011;Lockheed Martin Commercial Space Systems;USA;Guiana Space Center;Ariane 5 ECA
Bugsat-1;NR;Satellogic S.A.;Argentina;Commercial;Technology Development;6/19/2014;Satellogic S.A.;Argentina;Dombarovsky Air Base;Dnepr
Calipso;France;Centre National d'Etudes Spatiales (CNES)/NASA;France/USA;Government;Earth Science;4/28/2006;Alcatel Alenia Space;France;Vandenberg AFB;Delta 2
Canopus-B;Russia;Scientific Production Corporation (joint stock creation of Russian Space Agency);Russia;Government;Earth Observation;7/22/2012;All-Russia Research Institute of Electromechanics (NPP VNIIEM);Russia;Baikonur Cosmodrome;Soyuz-Fregat
CartoSat 1;India;Indian Space Research Organization (ISRO);India;Government;Earth Observation;5/5/2005;Indian Space Research Organization (ISRO);India;Satish Dhawan Space Centre;PSLV C6
CartoSat 2;India;Indian Space Research Organization (ISRO);India;Government;Earth Observation;1/10/2007;Indian Space Research Organization (ISRO);India;Satish Dhawan Space Centre;PSLV C7
CartoSat 2A;India;Indian Space Research Organization (ISRO);India;Military;Earth Observation;4/28/2008;Indian Space Research Organization (ISRO);India;Satish Dhawan Space Center;PSLV C9
CartoSat 2B;India;Indian Space Research Organization (ISRO);India;Government;Earth Observation;7/12/2010;Indian Space Research Organization (ISRO);India;Satish Dhawan Space Center;PSLV
CartoSat 2C;NR;Indian Space Research Organization (ISRO);India;Government;Earth Observation;6/22/2016;Indian Space Research Organization (ISRO);India;Satish Dhawan Space Center ;PSLV XL
Cassiope;NR;Canadian Space Agency;Canada;Government;Earth Science;9/29/2013;Canadian Space Agency;Canada;Vandenberg AFB;Falcon 9
CBERS 4;NR;China National Space Administration (China)/National Institute for Space Research (Brazil);China/Brazil;Government;Earth Observation;12/7/2014;China Academy of Space Technology (CAST);China;Taiyuan Launch Center;Long March 4B
CBNT-1;NR;Surrey Satellite Technology Ltd.;United Kingdom;Commercial;Technology Development;7/10/2015;Surrey Satellite Technologies Ltd.;United Kingdom;Satish Dhawan Space Centre;PSLV
CFESat;USA;Los Alamos National Labs (LANL);USA;Government;Technology Development;3/9/2007;Surrey Satellite Technologies Ltd.;United Kingdom;Cape Canaveral;Atlas 5
Chandra X-Ray Observatory (CXO);USA;NASA Goddard Space Flight Center;USA;Government;Space Science;7/23/1999;TRW Space and Electronics;USA;Cape Canaveral;Space Shuttle (STS 93)
ChinaSat 11;China;China Satellite Communication Corp. (China Satcom);China;Commercial;Communications;5/1/2013;China Aerospace Science and Technology Corp. (CASC);China;Xichang Satellite Launch Center;Long March 3B
ChinaSat 1C;NR;China Satellite Communication Corp. (China Satcom);China;Commercial;Communications;12/9/2015;China Academy of Space Technology (CAST);China;Xichang Satellite Launch Center;Long March 3B
ChinaSat 2C;NR;China Satellite Communication Corp. (China Satcom);China;Commercial/Government;Communications;11/3/2015;China Academy of Space Technology (CAST);China;Xichang Satellite Launch Center;Long March 3B
ChinaSat 6B;China;China Satellite Communication Corp. (China Satcom);China;Commercial/Government;Communications;7/6/2007;Thales Alenia Space;France/Italy;Xichang Satellite Launch Center;Long March 3B
Chuangxin 1-1;China;Chinese Academy of Sciences;China;Government;Communications;10/21/2003;China Academy of Sciences;China;Taiyuan Launch Center;Long March 3B
Chuangxin 1-2;China;Chinese Academy of Sciences;China;Government;Earth Observation;11/5/2008;China Academy of Sciences;China;Jiuquan Satellite Launch Center;Long March 2D
Chuangxin 1-3;China;Chinese Academy of Sciences;China;Government;Earth Observation;11/20/2011;China Academy of Sciences;China;Jiuquan Satellite Launch Center;Long March 2D
Chuangxin 1-4;China;Chinese Academy of Sciences;China;Government;Earth Observation;9/4/2014;China Academy of Sciences;China ;Jiuquan Satellite Launch Center;Long March 2D
Chuangzin-3;China;Chinese Academy of Sciences;China;Government;Technology Development;7/19/2013;China Academy of Sciences;China;Taiyuan Launch Center;Long March 2C
ChubuSat 1;NR;Nagoya University and Daido University;Japan;Civil;Technology Development;11/6/2014;Nagoya University and Daido University;Japan;Dombarovsky Air Base;Dnepr
ChubuSat 2;NR;Nagoya University and Daido University;Japan;Civil;Technology Development;2/17/2016;Nagoya University and Daido University;Japan;Tanegashima Space Center;H-2A
ChubuSat 3;NR;Nagoya University and Daido University;Japan;Civil;Technology Development;2/17/2016;Nagoya University and Daido University;Japan;Tanegashima Space Center;H-2A
Ciel-2;Canada;Ciel Satellite Group;Canada;Commercial;Communications;12/10/2008;Thales Alenia Space;France;Baikonur Cosmodrome;Proton M
CINEMA-1;USA;University of California-Berkeley/Imperial College-London;USA;Civil;Space Science;9/13/2012;"Space Sciences Laboratory (SSL) of the University of California Berkeley;  Kyung Hee University (KHU), Imperial College London";USA;Vandenberg AFB;Atlas 5
USA 257;USA;Unknown US agency;USA;Military;Communications;9/16/2014;Lockheed Martin;USA;Cape Canaveral;Atlas 5
Cloudsat;USA;NASA/Colorado State University;USA;Government/Civil;Earth Observation;4/28/2006;NASA Jet Propulsion Laboratory;USA;Vandenberg AFB;Delta 2
COMS-1;South Korea;Korea Aerospace Research Institute (KARI);South Korea;Government;Earth Observation/Communications;6/26/2010;EADS Astrium/Electronics and Telecommunications Research Institute (ETRI);South Korea;Guiana Space Center;Ariane 5 ECA
COMSATBw-1;Germany;Armed Forces;Germany;Military;Communications;10/1/2009;Thales Alenia Space;France/Italy;Guiana Space Center;Ariane 5
COMSATBw-2;Germany;Armed Forces;Germany;Military;Communications;5/21/2010;Thales Alenia Space;France/Italy;Guiana Space Center;Ariane 5
Condor E2;NR;Armed Forces;South Africa;Military;Earth Observation;12/19/2014;NPO Mashinostroyeniya;Russia;Baikonur Cosmodrome;Strela
Coriolis;USA;US Air Force/ US Navy/NASA;USA;Military;Earth/Space Science;1/6/2003;Spectrum Astro, Inc.;USA;Vandenberg AFB;Titan 2
COSMIC-A;NR;National Space Program Office (NSPO)/University Corporation for Atmospheric Research (UCAR) Boulder, CO;Taiwan/USA;Government/Civil;Earth Observation;4/15/2006;Orbital Sciences Corp.;USA;Vandenberg AFB;Minotaur
COSMIC-B;NR;National Space Program Office (NSPO)/University Corporation for Atmospheric Research (UCAR) Boulder, CO;Taiwan/USA;Government/Civil;Earth Observation;4/15/2006;Orbital Sciences Corp.;USA;Vandenberg AFB;Minotaur
COSMIC-D;NR;National Space Program Office (NSPO)/University Corporation for Atmospheric Research (UCAR) Boulder, CO;Taiwan/USA;Government/Civil;Earth Observation;4/15/2006;Orbital Sciences Corp.;USA;Vandenberg AFB;Minotaur
COSMIC-E;NR;National Space Program Office (NSPO)/University Corporation for Atmospheric Research (UCAR) Boulder, CO;Taiwan/USA;Government/Civil;Earth Observation;4/15/2006;Orbital Sciences Corp.;USA;Vandenberg AFB;Minotaur
COSMIC-F;NR;National Space Program Office (NSPO)/University Corporation for Atmospheric Research (UCAR) Boulder, CO;Taiwan/USA;Government/Civil;Earth Observation;4/15/2006;Orbital Sciences Corp.;USA;Vandenberg AFB;Minotaur
Cosmos 2504;NR;Ministry of Defense;Russia;Military;Technology Development;3/31/2015;Reshetnev;Russia;Plesetsk Cosmodrome;Rokot
COSMO-Skymed 1;Italy;Italian Space Agency/Ministry of Defense;Italy;Military/Civil;Earth Observation;6/8/2007;Thales Alenia Space;France/Italy;Vandenberg AFB;Delta 7000
COSMO-Skymed 2;Italy;Italian Space Agency/Ministry of Defense;Italy;Military/Government;Earth Observation;12/9/2007;ThalesÂ AleniaÂ Space;Italy;Vandenberg AFB;Delta 2
COSMO-Skymed 3;Italy;Italian Space Agency/Ministry of Defense;Italy;Military/Government;Earth Observation;10/25/2008;ThalesÂ AleniaÂ Space;Italy;Vandenberg AFB;Delta 7420
COSMO-Skymed 4;Italy;Italian Space Agency/Ministry of Defense;Italy;Military/Government;Earth Observation;11/6/2010;ThalesÂ AleniaÂ Space;Italy;Vandenberg AFB;Delta 2
CP-10;NR;California Polytechnic State University/NASA JPL;USA;Civil;Earth Observation;1/31/2015;California Polytechnic University/NASA JPL;USA;Vandenberg AFB;Delta 2
Cryosat-2;ESA;European Space Agency (ESA);ESA;Government;Earth Observation;4/8/2010;EADS Astrium;France/UK/Germany/Spain;Baikonur Cosmodrome;Dnepr
CSSWE;USA;University of Colorado;USA;Civil;Earth Science;9/13/2012;University of Colorado;USA;Vandenberg AFB;Atlas 5
Cubebug 1;Argentina;Argentinian Ministry of Science, Technology and Productive Innovation/Radio Club Bariloche;Argentina;Civil;Technology Development;4/26/2013;Argentinian Ministry of Science, Technology and Productive Innovation;Argentina;Jiuquan Satellite Launch Center;CZ-2D
Cubebug 2;NR;Argentinian Ministry of Science, Technology and Productive Innovation/Radio Club Bariloche;Argentina;Civil;Technology Development;11/21/2013;Argentinian Ministry of Science, Technology and Productive Innovation;Argentina;Dombarovsky Air Base;Dnepr
Cubesat XI-IV ;Japan;Department of Astronautics, University of Tokyo;Japan;Civil;Technology Development;6/30/2003;Department of Astronautics, University of Tokyo;Japan;Plesetsk Cosmodrome;Dnepr
CUSat-1;NR;Space Systems Design Studio, Cornell University;USA;Civil;Technology Development;9/29/2013;Space Systems Design Studio, Cornell University;USA;Vandenberg AFB;Falcon 9
Daichi-2;NR;Japan Aerospace Exploration Agency (JAXA);Japan;Government;Earth Observation;5/24/2014;Mitsubishi Electric;Japan;Tanegashima Space Center;H-2A
DAMPE;NR;Chinese Academy of Science;China;Government;Space Science;12/17/2015;Chinese Academy of Science;China;Jiuquan Satellite Launch Center;Long March 2D
DCBB;NR;China Amateur Satellite - CAMSAT;China;Civil;Technology Development;9/19/2015; Shenzhen Aerospace Dongfanghong HIT Satellite Ltd./CAMSAT;China;Taiyuan Launch Center;Long March 6
Deimos 1;Spain;Deimos Imaging/DMC International Imaging (DMCII);Spain;Government;Earth Observation;7/29/2009;Surrey Satellite Technologies Ltd.;United Kingdom;Baikonur Cosmodrome;Dnepr
Deimos 2;NR;Deimos Imaging/DMC International Imaging (DMCII);Spain;Government;Earth Observation;6/19/2014;Satrec Initiative;South Korea;Dombarovsky Air Base;Dnepr
Delfi-C3;NR;Technical University, Delft;Netherlands;Civil;Technology Development;4/28/2008;Technical University of Delft;Netherlands;Satish Dhawan Space Center;PSLV C9
DirecTV-10;USA;DirecTV, Inc.;USA;Commercial;Communications;7/7/2007;Boeing Space and Intelligence Systems;USA;Baikonur Cosmodrome;Proton M
DirecTV-11;USA;DirecTV, Inc.;USA;Commercial;Communications;3/19/2008;Boeing Satellite Development Center;USA;Sea Launch (Odyssey);Zenit 3SL
DirecTV-12;USA;DirecTV, Inc.;USA;Commercial;Communications;12/29/2009;Boeing Space Systems;USA;Baikonur Cosmodrome;Breeze M
DirecTV-14;USA;DirecTV, Inc.;USA;Commercial;Communications;12/6/2014;Space Systems/Loral;USA;Guiana Space Center;Ariane 5 ECA
DirecTV-15;NR;DirecTV, Inc.;USA;Commercial;Communications;5/27/2015;Airbus Defense and Space;Germany/France;Guiana Space Center;Ariane 5 ECA
DirecTV-1R;USA;Russian Satellite Communications Co.;Russia;Commercial;Communications;10/10/1999;Hughes Electronics Corp.;USA;Sea Launch (Odyssey);Zenit 3SL
DirecTV-4S;USA;DirecTV, Inc.;USA;Commercial;Communications;11/27/2001;Hughes Electronics Corp.;USA;Guiana Space Center;Ariane 44LP
DirecTV-5;USA;DirecTV, Inc.;USA;Commercial;Communications;5/7/2002;Space Systems/Loral;USA;Baikonur Cosmodrome;Proton K
DirecTV-7S;USA;DirecTV, Inc. ;USA;Commercial;Communications;5/4/2004;Space Systems/Loral;USA;Sea Launch;Zenit 3SL
DirecTV-8;USA;DirecTV, Inc.;USA;Commercial;Communications;5/22/2005;Space Systems/Loral;USA;Baikonur Cosmodrome;Proton M/Breeze M
DirecTV-9S;USA;DirecTV, Inc.;USA;Commercial;Communications;10/13/2006;Space Systems/Loral;USA;Guiana Space Center;Ariane 5 ECA
DLR Tubsat;NR;Deutsches Zentrum fÃ¼r Luft- und Raumfahrt;Germany;Government;Earth Science;5/26/1999;Institute of Aeronautics and Astronautics, Technical University of Berlin;Germany;Satish Dhawan Space Centre;PSLV C2
DMC 3-1;United Kingdom;Surrey Satellite Technology Ltd.;United Kingdom;Commercial;Earth Observation;7/10/2015;Surrey Satellite Technologies Ltd.;UK;Satish Dhawan Space Centre;PSLV
DMC 3-2;United Kingdom;Surrey Satellite Technology Ltd.;United Kingdom;Commercial;Earth Observation;7/10/2015;Surrey Satellite Technologies Ltd.;UK;Satish Dhawan Space Centre;PSLV
DMC 3-3;United Kingdom;Surrey Satellite Technology Ltd.;United Kingdom;Commercial;Earth Observation;7/10/2015;Surrey Satellite Technologies Ltd.;UK;Satish Dhawan Space Centre;PSLV
USA 131;USA;DoD/NOAA;USA;Military;Earth Observation;4/4/1997;Lockheed Martin Missiles and Space;USA;Vandenberg AFB;Titan 2
USA 147;USA;DoD/NOAA;USA;Military;Earth Observation;12/12/1999;Lockheed Martin Missiles and Space;USA;Vandenberg AFB;Titan 2
USA 172;USA;DoD/NOAA;USA;Military;Earth Observation;10/18/2003;Lockheed Martin Missiles and Space;USA;Vandenberg AFB;Titan 2
USA 173;USA;DoD/NOAA;USA;Military;Earth Observation;11/4/2006;Lockheed Martin Missiles and Space;USA;Vandenberg AFB;Delta 4
USA 210;USA;DoD/NOAA;USA;Military;Earth Observation;10/18/2009;Lockheed Martin Missiles and Space;USA;Vandenberg AFB;Atlas 5
Dove 1c-1;USA;Planet Labs, Inc.;USA;Commercial;Earth Observation;6/19/2014;Planet Labs, Inc.;USA;Dombarovsky Air Base;Dnepr
Dove 1c-10;USA;Planet Labs, Inc.;USA;Commercial;Earth Observation;6/19/2014;Planet Labs, Inc.;USA;Dombarovsky Air Base;Dnepr
Dove 1c-11;USA;Planet Labs, Inc.;USA;Commercial;Earth Observation;6/19/2014;Planet Labs, Inc.;USA;Dombarovsky Air Base;Dnepr
Dove 1c-2;USA;Planet Labs, Inc.;USA;Commercial;Earth Observation;6/19/2014;Planet Labs, Inc.;USA;Dombarovsky Air Base;Dnepr
Dove 1c-3;USA;Planet Labs, Inc.;USA;Commercial;Earth Observation;6/19/2014;Planet Labs, Inc.;USA;Dombarovsky Air Base;Dnepr
Dove 1c-4;USA;Planet Labs, Inc.;USA;Commercial;Earth Observation;6/19/2014;Planet Labs, Inc.;USA;Dombarovsky Air Base;Dnepr
Dove 1c-5;USA;Planet Labs, Inc.;USA;Commercial;Earth Observation;6/19/2014;Planet Labs, Inc.;USA;Dombarovsky Air Base;Dnepr
Dove 1c-6;USA;Planet Labs, Inc.;USA;Commercial;Earth Observation;6/19/2014;Planet Labs, Inc.;USA;Dombarovsky Air Base;Dnepr
Dove 1c-7;USA;Planet Labs, Inc.;USA;Commercial;Earth Observation;6/19/2014;Planet Labs, Inc.;USA;Dombarovsky Air Base;Dnepr
Dove 1c-8;USA;Planet Labs, Inc.;USA;Commercial;Earth Observation;6/19/2014;Planet Labs, Inc.;USA;Dombarovsky Air Base;Dnepr
Dove 1c-9;USA;Planet Labs, Inc.;USA;Commercial;Earth Observation;6/19/2014;Planet Labs, Inc.;USA;Dombarovsky Air Base;Dnepr
Dove 1e-10;NR;Planet Labs, Inc.;USA;Commercial;Earth Observation;7/15/2015;Planet Labs, Inc.;USA;International Space Station;Nanorack Deployer
Dove 1e-11;NR;Planet Labs, Inc.;USA;Commercial;Earth Observation;7/15/2015;Planet Labs, Inc.;USA;International Space Station;Nanorack Deployer
Dove 1e-12;NR;Planet Labs, Inc.;USA;Commercial;Earth Observation;7/15/2015;Planet Labs, Inc.;USA;International Space Station;Nanorack Deployer
Dove 1e-13;NR;Planet Labs, Inc.;USA;Commercial;Earth Observation;7/16/2015;Planet Labs, Inc.;USA;International Space Station;Nanorack Deployer
Dove 1e-14;NR;Planet Labs, Inc.;USA;Commercial;Earth Observation;7/16/2015;Planet Labs, Inc.;USA;International Space Station;Nanorack Deployer
Dove 1e-6;NR;Planet Labs, Inc.;USA;Commercial;Earth Observation;7/15/2015;Planet Labs, Inc.;USA;International Space Station;Nanorack Deployer
Dove 1e-7;NR;Planet Labs, Inc.;USA;Commercial;Earth Observation;7/14/2015;Planet Labs, Inc.;USA;International Space Station;Nanorack Deployer
Dove 2b-1;NR;Planet Labs, Inc.;USA;Commercial;Earth Observation;10/6/2015;Planet Labs, Inc.;USA;International Space Station;Nanorack Deployer
Dove 2b-10;NR;Planet Labs, Inc.;USA;Commercial;Earth Observation;10/7/2015;Planet Labs, Inc.;USA;International Space Station;Nanorack Deployer
Dove 2b-13;NR;Planet Labs, Inc.;USA;Commercial;Earth Observation;10/7/2015;Planet Labs, Inc.;USA;International Space Station;Nanorack Deployer
Dove 2b-14;NR;Planet Labs, Inc.;USA;Commercial;Earth Observation;10/7/2015;Planet Labs, Inc.;USA;International Space Station;Nanorack Deployer
Dove 2b-2;NR;Planet Labs, Inc.;USA;Commercial;Earth Observation;10/6/2015;Planet Labs, Inc.;USA;International Space Station;Nanorack Deployer
Dove 2b-3;NR;Planet Labs, Inc.;USA;Commercial;Earth Observation;10/6/2015;Planet Labs, Inc.;USA;International Space Station;Nanorack Deployer
Dove 2b-4;NR;Planet Labs, Inc.;USA;Commercial;Earth Observation;10/6/2015;Planet Labs, Inc.;USA;International Space Station;Nanorack Deployer
Dove 2b-5;NR;Planet Labs, Inc.;USA;Commercial;Earth Observation;10/6/2015;Planet Labs, Inc.;USA;International Space Station;Nanorack Deployer
Dove 2b-6;NR;Planet Labs, Inc.;USA;Commercial;Earth Observation;10/6/2015;Planet Labs, Inc.;USA;International Space Station;Nanorack Deployer
Dove 2b-7;NR;Planet Labs, Inc.;USA;Commercial;Earth Observation;10/6/2015;Planet Labs, Inc.;USA;International Space Station;Nanorack Deployer
